"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","22","api_tests","test_post_birthdays","","","","test_post_birthdays_without_date",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","25","api_tests","test_delete_birthdays","","","","test_delete_nonexistent_birthdays",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","35","api_tests","test_put_birthdays","","","","test_put_birthdays_only_date",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","27","api_tests","test_post_birthdays","","","","test_post_birthdays_without_name",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","59","api_tests","test_put_birthdays","","","","test_put_birthdays_both_name_and_date",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","10","api_tests","test_put_birthdays","","","","test_put_birthdays_no_json",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","34","api_tests","test_put_birthdays","","","","test_put_birthdays_only_name",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","63","api_tests","test_post_birthdays","","","","test_post_birthdays",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","24","api_tests","test_delete_birthdays","","","","test_delete_birthdays",""
"passed","Sun Sep 03 21:43:23 GMT 2023","Sun Sep 03 21:43:23 GMT 2023","59","api_tests","test_put_birthdays","","","","test_put_nonexistent_birthdays",""
