"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test_post_birthdays_without_name","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_post_birthdays","",""
"","32","test_delete_birthdays","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_delete_birthdays","",""
"","8","test_put_nonexistent_birthdays","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_put_birthdays","",""
"","6","test_post_birthdays_without_date","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_post_birthdays","",""
"","8","test_delete_nonexistent_birthdays","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_delete_birthdays","",""
"","10","test_put_birthdays_no_json","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_put_birthdays","",""
"","18","test_put_birthdays_only_name","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_put_birthdays","",""
"","24","test_post_birthdays","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_post_birthdays","",""
"","22","test_put_birthdays_only_date","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_put_birthdays","",""
"","18","test_put_birthdays_both_name_and_date","api_tests","Tue Jan 07 14:27:25 GMT 2025","passed","Tue Jan 07 14:27:25 GMT 2025","","test_put_birthdays","",""
