"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","29","api_tests","test_post_birthdays","","","","test_post_birthdays_without_date",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","57","api_tests","test_put_birthdays","","","","test_put_birthdays_both_name_and_date",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","64","api_tests","test_put_birthdays","","","","test_put_nonexistent_birthdays",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","37","api_tests","test_delete_birthdays","","","","test_delete_nonexistent_birthdays",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","9","api_tests","test_put_birthdays","","","","test_put_birthdays_no_json",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","28","api_tests","test_delete_birthdays","","","","test_delete_birthdays",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","25","api_tests","test_post_birthdays","","","","test_post_birthdays_without_name",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","41","api_tests","test_put_birthdays","","","","test_put_birthdays_only_date",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","66","api_tests","test_post_birthdays","","","","test_post_birthdays",""
"passed","Sun Oct 22 16:35:41 GMT 2023","Sun Oct 22 16:35:41 GMT 2023","51","api_tests","test_put_birthdays","","","","test_put_birthdays_only_name",""
