"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","test_post_birthdays","api_tests","Wed Jan 15 10:41:40 GMT 2025","passed","Wed Jan 15 10:41:41 GMT 2025","","test_post_birthdays","",""
"","82","test_post_birthdays_without_name","api_tests","Wed Jan 15 10:41:41 GMT 2025","passed","Wed Jan 15 10:41:41 GMT 2025","","test_post_birthdays","",""
"","250","test_put_birthdays_only_date","api_tests","Wed Jan 15 10:41:41 GMT 2025","passed","Wed Jan 15 10:41:41 GMT 2025","","test_put_birthdays","",""
"","331","test_delete_birthdays","api_tests","Wed Jan 15 10:41:40 GMT 2025","passed","Wed Jan 15 10:41:40 GMT 2025","","test_delete_birthdays","",""
"","253","test_put_birthdays_only_name","api_tests","Wed Jan 15 10:41:41 GMT 2025","passed","Wed Jan 15 10:41:41 GMT 2025","","test_put_birthdays","",""
"","84","test_put_user_password_not_found","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:43 GMT 2025","","test_user_management","",""
"","337","test_put_user_password","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_user_management","",""
"","83","test_put_nonexistent_birthdays","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_put_birthdays","",""
"","5","test_put_user_password_validation_error","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_user_management","",""
"","5","test_delete_user_not_found","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_user_management","",""
"","167","test_post_user","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_user_management","",""
"","171","test_put_birthdays_no_json","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_put_birthdays","",""
"","81","test_delete_nonexistent_birthdays","api_tests","Wed Jan 15 10:41:40 GMT 2025","passed","Wed Jan 15 10:41:40 GMT 2025","","test_delete_birthdays","",""
"","92","test_delete_user","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_user_management","",""
"","82","test_post_birthdays_without_date","api_tests","Wed Jan 15 10:41:41 GMT 2025","passed","Wed Jan 15 10:41:41 GMT 2025","","test_post_birthdays","",""
"","165","test_get_other_user_birthdays","api_tests","Wed Jan 15 10:41:43 GMT 2025","passed","Wed Jan 15 10:41:43 GMT 2025","","test_user_scope","",""
"","333","test_modify_other_user_birthday","api_tests","Wed Jan 15 10:41:43 GMT 2025","passed","Wed Jan 15 10:41:43 GMT 2025","","test_user_scope","",""
"","254","test_put_birthdays_both_name_and_date","api_tests","Wed Jan 15 10:41:41 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_put_birthdays","",""
"","5","test_post_user_validation_error","api_tests","Wed Jan 15 10:41:42 GMT 2025","passed","Wed Jan 15 10:41:42 GMT 2025","","test_user_management","",""
