"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test_delete_user_not_found","api_tests","Tue Jan 14 15:39:56 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_management","",""
"","84","test_delete_nonexistent_birthdays","api_tests","Tue Jan 14 15:39:54 GMT 2025","passed","Tue Jan 14 15:39:54 GMT 2025","","test_delete_birthdays","",""
"","256","test_put_birthdays_both_name_and_date","api_tests","Tue Jan 14 15:39:55 GMT 2025","passed","Tue Jan 14 15:39:55 GMT 2025","","test_put_birthdays","",""
"","169","test_get_other_user_birthdays","api_tests","Tue Jan 14 15:39:56 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_scope","",""
"","5","test_post_user_validation_error","api_tests","Tue Jan 14 15:39:56 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_management","",""
"","85","test_post_birthdays_without_date","api_tests","Tue Jan 14 15:39:54 GMT 2025","passed","Tue Jan 14 15:39:54 GMT 2025","","test_post_birthdays","",""
"","86","test_put_user_password_not_found","api_tests","Tue Jan 14 15:39:56 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_management","",""
"","4","test_put_user_password_validation_error","api_tests","Tue Jan 14 15:39:56 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_management","",""
"","257","test_post_birthdays","api_tests","Tue Jan 14 15:39:54 GMT 2025","passed","Tue Jan 14 15:39:54 GMT 2025","","test_post_birthdays","",""
"","340","test_put_user_password","api_tests","Tue Jan 14 15:39:56 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_management","",""
"","256","test_put_birthdays_only_name","api_tests","Tue Jan 14 15:39:54 GMT 2025","passed","Tue Jan 14 15:39:55 GMT 2025","","test_put_birthdays","",""
"","172","test_post_user","api_tests","Tue Jan 14 15:39:55 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_management","",""
"","89","test_delete_user","api_tests","Tue Jan 14 15:39:56 GMT 2025","passed","Tue Jan 14 15:39:56 GMT 2025","","test_user_management","",""
"","85","test_put_nonexistent_birthdays","api_tests","Tue Jan 14 15:39:55 GMT 2025","passed","Tue Jan 14 15:39:55 GMT 2025","","test_put_birthdays","",""
"","256","test_put_birthdays_only_date","api_tests","Tue Jan 14 15:39:55 GMT 2025","passed","Tue Jan 14 15:39:55 GMT 2025","","test_put_birthdays","",""
"","169","test_put_birthdays_no_json","api_tests","Tue Jan 14 15:39:55 GMT 2025","passed","Tue Jan 14 15:39:55 GMT 2025","","test_put_birthdays","",""
"","84","test_post_birthdays_without_name","api_tests","Tue Jan 14 15:39:54 GMT 2025","passed","Tue Jan 14 15:39:54 GMT 2025","","test_post_birthdays","",""
"","342","test_delete_birthdays","api_tests","Tue Jan 14 15:39:54 GMT 2025","passed","Tue Jan 14 15:39:54 GMT 2025","","test_delete_birthdays","",""
